epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1340.99,1.36831,0.71445,0.8466,0.95759,0.97896,0.9866,0.70532,1.20338,0.6953,0.82507,0.000182656,0.000182656,0.000182656
71,1358.67,1.35128,0.75164,0.86873,0.95909,0.975,0.98692,0.70565,1.19928,0.69501,0.82483,0.000167188,0.000167188,0.000167188
72,1376.19,1.3679,0.73353,0.88089,0.95298,0.97482,0.98688,0.70032,1.19273,0.69348,0.8251,0.000151719,0.000151719,0.000151719
73,1393.74,1.31726,0.71087,0.87525,0.93611,0.98926,0.98658,0.69821,1.19211,0.69298,0.82687,0.00013625,0.00013625,0.00013625
74,1411.35,1.29932,0.70196,0.87159,0.93737,0.9828,0.9866,0.69408,1.1997,0.69349,0.82849,0.000120781,0.000120781,0.000120781
75,1428.84,1.33574,0.70588,0.85999,0.93712,0.98407,0.98661,0.69527,1.20119,0.69421,0.8285,0.000105312,0.000105312,0.000105312
76,1446.92,1.33348,0.72864,0.87432,0.92538,0.99129,0.98641,0.69657,1.1965,0.69503,0.8276,8.98437e-05,8.98437e-05,8.98437e-05
77,1465.6,1.36039,0.72886,0.88242,0.92618,0.98543,0.9867,0.69895,1.19098,0.69532,0.82654,7.4375e-05,7.4375e-05,7.4375e-05
78,1483.8,1.32226,0.69802,0.87775,0.93438,0.97742,0.98679,0.6979,1.1876,0.69472,0.82598,5.89062e-05,5.89062e-05,5.89062e-05
79,1502.04,1.32887,0.68683,0.87594,0.93419,0.97727,0.98659,0.69734,1.18783,0.69372,0.82575,4.34375e-05,4.34375e-05,4.34375e-05
80,1520.27,1.301,0.70584,0.86009,0.93394,0.97727,0.98662,0.69818,1.18915,0.69267,0.82566,2.79687e-05,2.79687e-05,2.79687e-05
